Year,CIPCODE,CIP Family,CIP Family Name,Tier,Institutions Offering,Total Completions,Male,Female,American Indian/Alaska Native,Asian,Black/African American,Hispanic/Latino,Native Hawaiian/Pacific Islander,White,Two or More Races,Race/Ethnicity Unknown,Nonresident Alien
2021,01.1102,01,Agriculture,4,2,60,37,23,0,0,0,1,0,52,0,0,7
2021,01.1102,01,Agriculture,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2021,01.1103,01,Agriculture,3,1,2,0,2,0,0,0,0,0,2,0,0,0
2021,01.1103,01,Agriculture,4,2,70,34,36,1,0,1,2,0,56,4,1,5
2021,01.1103,01,Agriculture,5,2,1,0,1,0,0,0,0,0,1,0,0,0
2021,01.1105,01,Agriculture,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,01.1106,01,Agriculture,4,1,1,0,1,0,0,0,0,0,1,0,0,0
2021,01.1201,01,Agriculture,4,1,4,2,2,0,0,0,0,0,4,0,0,0
2021,01.1302,01,Agriculture,3,1,4,0,4,0,0,0,0,0,4,0,0,0
2021,01.1302,01,Agriculture,4,2,24,7,17,0,2,0,0,0,18,0,0,4
2021,01.1302,01,Agriculture,5,3,5,0,5,0,0,0,0,0,5,0,0,0
2021,01.8001,01,Agriculture,4,2,237,43,194,1,2,1,12,0,207,2,10,2
2021,01.8101,01,Agriculture,4,2,45,12,33,1,1,1,6,0,31,2,0,3
2021,01.8101,01,Agriculture,5,1,23,2,21,0,0,2,0,0,21,0,0,0
2021,01.8108,01,Agriculture,4,1,6,1,5,0,1,0,0,0,3,0,0,2
2021,01.8109,01,Agriculture,4,1,2,0,2,0,0,0,0,0,1,0,0,1
2021,01.8202,01,Agriculture,5,1,64,0,64,0,0,0,2,0,56,6,0,0
2021,01.8301,01,Agriculture,1,1,34,0,34,0,0,0,1,0,30,2,0,1
2021,01.8301,01,Agriculture,4,2,5,0,5,0,0,0,2,0,3,0,0,0
2021,01.8301,01,Agriculture,5,5,60,1,59,0,1,0,1,0,55,3,0,0
2021,01.8399,01,Agriculture,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,01.9999,01,Agriculture,3,1,2,1,1,0,0,0,0,0,2,0,0,0
2021,01.9999,01,Agriculture,5,1,1,0,1,0,0,0,0,0,1,0,0,0
2021,03.0101,03,Natural Resources & Conservation,4,1,62,40,22,0,0,1,1,0,54,3,0,3
2021,03.0103,03,Natural Resources & Conservation,2,2,56,17,39,1,2,2,7,0,40,4,0,0
2021,03.0103,03,Natural Resources & Conservation,3,1,2,0,2,0,0,0,0,0,2,0,0,0
2021,03.0103,03,Natural Resources & Conservation,4,3,15,8,7,0,0,0,2,0,11,0,1,1
2021,03.0103,03,Natural Resources & Conservation,5,5,46,24,22,1,5,6,3,0,28,0,3,0
2021,03.0104,03,Natural Resources & Conservation,1,1,17,7,10,0,3,0,1,0,10,1,2,0
2021,03.0104,03,Natural Resources & Conservation,2,1,19,6,13,19,0,0,0,0,0,0,0,0
2021,03.0104,03,Natural Resources & Conservation,4,7,17,5,12,0,1,1,1,0,13,1,0,0
2021,03.0104,03,Natural Resources & Conservation,5,6,36,16,20,0,1,3,3,0,25,1,0,3
2021,03.0201,03,Natural Resources & Conservation,5,1,10,6,4,0,1,1,2,0,5,0,0,1
2021,03.0501,03,Natural Resources & Conservation,4,1,3,3,0,0,0,0,0,0,2,1,0,0
2021,03.0501,03,Natural Resources & Conservation,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,03.0506,03,Natural Resources & Conservation,5,1,1,1,0,0,0,0,0,0,0,0,1,0
2021,03.0510,03,Natural Resources & Conservation,4,1,3,1,2,0,0,0,0,0,2,0,0,1
2021,03.0511,03,Natural Resources & Conservation,5,1,5,2,3,0,0,0,0,0,3,0,2,0
2021,03.0601,03,Natural Resources & Conservation,2,1,9,5,4,0,0,0,0,0,8,1,0,0
2021,03.0601,03,Natural Resources & Conservation,3,1,14,10,4,0,0,0,0,0,13,1,0,0
2021,03.0601,03,Natural Resources & Conservation,4,1,29,20,9,0,1,0,1,0,26,0,0,1
2021,03.0601,03,Natural Resources & Conservation,5,1,10,9,1,0,0,0,0,0,9,0,1,0
2021,03.9999,03,Natural Resources & Conservation,4,1,22,21,1,0,0,0,0,0,21,1,0,0
2021,04.0201,04,Architecture,2,2,1,0,1,0,0,0,0,0,1,0,0,0
