UNITID,Institution Name,City,State,ZIP,County,Latitude,Longitude,Distance from KC (mi),Tier,Tier Label,Sector,Control,Level,Institution Category,Institution Size,Degree-Granting,Locale,HBCU,Status,CBSA,Website,Address
179317,Saint Paul School of Theology,Leawood,KS,66224,Johnson County,38.880458,-94.641277,15.5,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, graduate with no undergraduate","Under 1,000",Degree-granting,Suburb: Large,No,Active,28140,https://www.spst.edu/,13720 Roe Avenue
451237,Z Hair Academy,Overland Park,KS,66223,Johnson County,38.867002,-94.666351,16.8,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Midsize,No,Active,28140,www.zhairacademy.com/,14471 Metcalf
176716,House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,64014,Jackson County,38.997932,-94.272412,17.9,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Suburb: Large,No,Active,28140,kc-hair.com/,2000 SW State Route 7
176789,Calvary University,Kansas City,MO,64147-1341,Cass County,38.839578,-94.547927,18.0,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,City: Large,No,Active,28140,www.calvary.edu/,15800 Calvary Road
155520,MidAmerica Nazarene University,Olathe,KS,66062-1899,Johnson County,38.875244,-94.781526,19.0,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,Suburb: Large,No,Active,28140,https://www.mnu.edu/,2030 E College Way
421771,Academy of Beauty Professionals,Raymore,MO,64083-9195,Cass County,38.812989,-94.467053,20.7,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Suburb: Large,No,Active,28140,https://www.academyofbeautyprofessionals.com/,800 W Foxwood Dr.
155812,University of Saint Mary,Leavenworth,KS,66048-5082,Leavenworth County,39.279396,-94.906743,21.5,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,Town: Fringe,No,Active,28140,www.stmary.edu/,4100 S 4th St
417682,Cass Career Center,Harrisonville,MO,64701-2024,Cass County,38.660248,-94.333774,33.1,2,KC Fringe (30-60 mi),"Public, less-than 2-year",Public,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,Town: Distant,No,Active,28140,casscareercenter.com/,1600 E Elm
470047,WellSpring School of Allied Health-Lawrence,Lawrence,KS,66045-3073,Douglas County,38.965848,-95.235123,36.4,2,KC Fringe (30-60 mi),"Private for-profit, 2-year",Private for-profit,Two-year,"Degree-granting, associate and certificates","Under 1,000",Degree-granting,City: Small,No,Active,29940,www.wellspring.edu/,947 New Hampshire
155140,Haskell Indian Nations University,Lawrence,KS,66046-4800,Douglas County,38.938834,-95.232879,36.8,2,KC Fringe (30-60 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, not primarily baccalaureate or above","Under 1,000",Degree-granting,City: Small,No,Active,29940,www.haskell.edu/,155 Indian Ave
